Id,Title,Dict,Score
19,Opec reduces estimate on oil demand growth,"{""oil"": ""negative"", ""Opec"": ""neutral""}",7
20,Oil prices mixed ahead of US supply report,"{""Oil"": ""neutral""}",8
89,How will Shell-BG deal impact global energy market,"{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}",8
106,Sebi considers proposal on cross-currency futures pairs,"{""Sebi"": ""neutral""}",7
161,"RBI, bourses weigh dollar delivery in futures trade","{""RBI"": ""neutral"", ""bourses"": ""neutral""}",8
196,Britain FTSE regains traction as oil steadies,"{""oil"": ""neutral"", ""FTSE"": ""neutral""}",7
197,Experts' call on oil marketing companies,"{""oil marketing companies"": ""neutral""}",6
198,Oil ends steady in thin trade,"{""Oil"": ""neutral""}",6
199,Oil prices mixed in Asian trade,"{""Oil"": ""neutral""}",6
200,Oil takes breather in Asian trade,"{""Oil"": ""neutral""}",6
201,Oil prices turn mixed in Asian trade,"{""Oil"": ""neutral""}",7
229,NCDEX mulls relaunch of Brent contract soon,"{""NCDEX"": ""neutral"", ""Brent"": ""neutral""}",7
308,Kirloskar Engines India turns Kirloskar Oil Engines India,"{""Kirloskar Engines India"": ""neutral"", ""Kirloskar Oil Engines India"": ""neutral""}",8
340,Jignesh Shah quits Indian Energy Exchange board,"{""Indian Energy Exchange"": ""neutral""}",7
410,Ravi Ruia quits as Essar Energy chief,"{""Essar Energy"": ""neutral""}",7
427,Crude reserves filling to begin after March 2016,"{""Crude"": ""neutral""}",8
430,Commodities futures now part of supply chain,"{""Commodities futures"": ""neutral""}",7
470,Record open interest points to Brent price support,"{""Brent"": ""neutral""}",8
477,BGR Energy can test 370 levels: Mitesh Thacker,"{""BGR Energy"": ""neutral""}",8
548,China slaps restrictions on 7 securities and futures institutions,"{""China"": ""neutral""}",9
592,IEA says oil supply boost may defer market tightening,"{""IEA"": ""neutral""}",9
624,Mideast crude market rides out Iraq conflict for now,"{""Mideast crude market"": ""neutral""}",9
633,NCDEX seeks permission to do futures trading in sugar,"{""NCDEX"": ""neutral""}",9
658,OIL India is more sideways type stock: Ashwani Gujral,"{""OIL India"": ""neutral""}",9
659,Oil marketing companies to procure Rs 97-crore litre ethanol,"{""Oil marketing companies"": ""neutral""}",9
660,Oil steady around $114 as Iraq exports in focus,"{""Oil"": ""neutral""}",9
816,China sets stage for opening commodity futures to foreign investors,"{""China"": ""neutral"", ""commodity futures"": ""neutral""}",10
931,Nishi Vasudeva takes over as Hindustan Petroleum Corp Ltd chief,"{""Hindustan Petroleum Corp Ltd"": ""neutral""}",10
938,Oil Minister Dharmendra Pradhan approves appointment of new IOC Chairman,"{""IOC"": ""neutral""}",10
1018,What's happening in the oil market right now is 'unprecedented',"{""oil"": ""neutral""}",10
1043,Chennai Petroleum Corporation Ltd reports Rs 510.11 crore Q1 net profit,"{""Chennai Petroleum Corporation Ltd"": ""neutral""}",11
1054,Currency futures volumes key to RBI plan on FIIs forex hedging,"{""Currency futures"": ""neutral"", ""RBI"": ""neutral""}",11
1062,Dubai commodity exchange in talks with producers to launch tea futures,"{""Dubai commodity exchange"": ""neutral"", ""tea futures"": ""neutral""}",11
1152,OIL director B N Talukdar made new directorate general of hydrocarbons,"{""OIL"": ""neutral""}",11
1169,RS Butola is the new chairman of Petroleum Federation of India,"{""Petroleum Federation of India"": ""neutral""}",11
1249,Indian Energy Exchange in talks with FTIL for buying out technology solutions,"{""Indian Energy Exchange"": ""neutral"", ""FTIL"": ""neutral""}",12
1253,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,"{""IOT Infrastructure & Energy Services"": ""neutral""}",12
1254,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,"{""IOT Infrastructure & Energy Services"": ""neutral""}",12
1258,Less than 50% chance of oil falling below $20 a barrel: Goldman,"{""oil"": ""neutral""}",12
1276,Ravi Ruia steps down as Chairman of Essar Energy amid CBI charges,"{""Essar Energy"": ""neutral"", ""CBI"": ""neutral""}",12
1321,Energy Development Company seeks shareholders' nod to issue shares worth Rs 44 crore,"{""Energy Development Company"": ""neutral""}",13
1434,"A $25 fall in crude is like a $10-billion stimulus for Indian economy, say experts; top stock bets","{""crude"": ""neutral""}",18
1543,Selan Oil Exploration shares rally on buy-back plans,"{""Selan Oil Exploration"": ""positive""}",8
1600,Take oil-ONGC mix in your portfolio: Rajesh Jain,"{""oil"": ""positive"", ""ONGC"": ""positive""}",8
1601,Oil&Gas sector gains on fuel price hike hopes,"{""Oil&Gas sector"": ""positive""}",8
1602,State-run oil retailers gain on weak crude prices,"{""oil retailers"": ""positive"", ""crude"": ""negative""}",8
1603,"OPEC Secretary-General sees ""improvement"" in oil market","{""oil market"": ""positive"", ""OPEC"": ""neutral""}",7
1604,Oil India raises $1000 million in two tranches,"{""Oil India"": ""positive""}",8
1605,Driving season boosts oil,"{""oil"": ""positive""}",4
1624,MRPL surges on Colombian crude buy plan,"{""MRPL"": ""positive""}",7
1663,Kirloskar Oil to sell bearings operations; stocks up,"{""Kirloskar Oil"": ""positive""}",8
1705,HPCL to gain most from diesel deregulation: Jefferies,"{""HPCL"": ""positive""}",8
1752,Fuel price hike good for market: Deven Choksey,"{""Fuel"": ""positive""}",8
1764,Stabilising oil lifts European shares and bond yields,"{""European shares"": ""positive"", ""oil"": ""positive""}",8
1800,Crude oil futures up on global cues,"{""Crude oil futures"": ""positive""}",7
1801,Crude oil futures up on overseas cues,"{""Crude oil futures"": ""positive""}",7
1802,Bets on crude surge ahead of OPEC meet,"{""crude"": ""positive"", ""OPEC"": ""neutral""}",8
1803,Heres how to double your money on crude,"{""crude"": ""positive""}",8
1831,Brent oil bounces higher after 3-day losing run,"{""Brent oil"": ""positive""}",8
1832,Brent holds above $109 on Ukraine tensions,"{""Brent"": ""positive""}",7
1833,Brent climbs above $108 on renewed Ukraine tensions,"{""Brent"": ""positive""}",8
1878,Oil prices rebound in Asia,"{""Oil"": ""positive""}",5
1890,Oil rebounds in Asia on bargain hunting,"{""Oil"": ""positive""}",7
1935,"Brent climbs above $58 on contract covering, geopolitical tension","{""Brent"": ""positive""}",9
1936,Brent edges above $95 on relief over China PMI,"{""Brent"": ""positive""}",9
1984,"Financials, energy shares lead gains in Hong Kong stocks","{""Financials"": ""positive"", ""energy"": ""positive""}",9
2014,Initiate fresh long trades on Essar Oil: Devang Visaria,"{""Essar Oil"": ""positive""}",9
2028,JSW Energy closes up a paltry 0.75% on BSE,"{""JSW Energy"": ""positive""}",9
2063,Oil near 9-month high as Iraq battles for refinery,"{""Oil"": ""positive""}",9
2064,ONGC biggest beneficiary from diesel subsidy cut: Anish Damania,"{""ONGC"": ""positive""}",9
2194,"Brent holds above $107 on US crude draw, China data","{""Brent"": ""positive""}",10
2209,Chennai Petroleum Q2 profit soars 2-fold to Rs 120.34 crore,"{""Chennai Petroleum"": ""positive""}",10
2269,Goldman Sachs raises 2015 oil price forecasts; cuts 2016 outlook,"{""oil"": ""positive"", ""Goldman Sachs"": ""neutral""}",10
2364,Oil companies will be investors preferred choice soon: Sudip Bandyopadhyay,"{""Oil companies"": ""positive""}",10
2365,Oil stocks on fire; what to expect from OPEC meet,"{""Oil"": ""positive""}",10
2480,XL Energy bags Rs 130 mn solar power contract;stk up,"{""XL Energy"": ""positive""}",10
2527,"Calculus: Refining margins, paradip unit may boost Indian Oil Corporation's stock","{""Indian Oil Corporation"": ""positive""}",11
2618,"Low oil price, strong rupee to reduce fiscal deficit: Deutsche Bank","{""Deutsche Bank"": ""neutral""}",11
2650,OIL net rises 30 pc in Q4 to Rs 562 cr,"{""OIL"": ""positive""}",11
2651,"Oil, copper and gold retreat as dollar strengthens over yuan devaluation","{""dollar"": ""positive"", ""Oil"": ""negative"", ""copper"": ""negative"", ""gold"": ""negative"", ""yuan"": ""negative""}",11
2687,Russia says oil price of $60-70 per barrel comfortable for market,"{""oil"": ""positive""}",11
2708,State-run oil companies settle 6 per cent higher on Iran deal,"{""State-run oil companies"": ""positive""}",11
2775,Bermaco Energy System buys Core Projects shares at Rs 340 per share,"{""Core Projects"": ""positive"", ""Bermaco Energy System"": ""neutral""}",12
2776,BGR Energy net rises 60 pc to Rs 323 cr in FY11,"{""BGR Energy"": ""positive""}",12
2927,"Tax sops to oil companies will be helpful: Ashith Kampani, JM Financial","{""JM Financial"": ""neutral""}",12
2958,Bond yields end up tracking oil prices; biggest weekly rise in 2-1/2 months,"{""Bond"": ""positive""}",13
3008,"Like it or not, China's crude oil futures will be a global benchmark","{""crude oil futures"": ""positive""}",13
3226,"Brent steady above $108 as Russia, Libya support","{""Brent"": ""positive""}",8
3248,US crude prices fall sharply as inventory grows,"{""US crude"": ""negative""}",8
3268,Suzlon Energy reports biggest quarterly loss,"{""Suzlon Energy"": ""negative""}",6
3336,"Investors take cover amid Russia crisis, oil slide","{""oil"": ""negative"", ""Russia"": ""negative""}",8
3337,Oversupply in oil market to continue,"{""oil market"": ""negative""}",6
3338,EU crisis push oil prices down,"{""oil"": ""negative""}",6
3339,Oil prices extend losses in Asian trade,"{""Oil"": ""negative""}",7
3340,Oil prices hit new multi-year lows in Asia,"{""Oil"": ""negative""}",8
3341,"Oil slips below $105 on oversupply, weak demand","{""Oil"": ""negative""}",8
3344,"NTPC: Execution delays, fuel availability key concerns","{""NTPC"": ""negative""}",7
3499,Crude oil futures down on weak Asian cues,"{""Crude oil futures"": ""negative""}",8
3500,Crude oil: A tale of two crashes,"{""Crude oil"": ""negative""}",7
3501,Crude oil plunge sends global equity markets tumbling,"{""Crude oil"": ""negative""}",8
3545,Cairn India falls 2.2% after Brent crude drops,"{""Cairn India"": ""negative"", ""Brent crude"": ""negative""}",8
3549,"Brent crude near bearish territory, down over 19%","{""Brent crude"": ""negative""}",8
3550,Morgan Stanley slashes Brent price forecasts,"{""Brent"": ""negative"", ""Morgan Stanley"": ""neutral""}",6
3551,Brent drops below $97 on rising supply,"{""Brent"": ""negative""}",7
3552,Brent slips below $110 after Ukraine election,"{""Brent"": ""negative""}",7
3553,Brent dips toward $107 as ample supplies weigh,"{""Brent"": ""negative""}",8
3554,Brent falls below $109 as Libya restarts oilfield,"{""Brent"": ""negative""}",8
3555,Brent hovers below $103 as ample supply weighs,"{""Brent"": ""negative""}",8
3567,BGR Energy is a short sale: Deepak Mohini,"{""BGR Energy"": ""negative""}",8
3583,"Fraud, financial distress fuel Asian corporate blow-ups: CLSA","{""Asian corporate"": ""negative"", ""CLSA"": ""neutral""}",8
3667,Brent crude falls below $84 on global growth concerns,"{""Brent crude"": ""negative""}",9
3668,Brent falls below $60 for first time since 2009,"{""Brent"": ""negative""}",9
3682,"Chennai Petroleum shuts refinery due to flooding, shares down","{""Chennai Petroleum"": ""negative""}",9
3692,Crude oil futures down 0.23% on weak Asian trend,"{""Crude oil futures"": ""negative""}",9
3693,Crude oil futures plunge 2.57% on weak Asian cues,"{""Crude oil futures"": ""negative""}",9
3696,"Crudes slide continues, oil companies' shares fall in sync","{""Crudes"": ""negative""}",9
3758,International Energy Agency sees low oil prices until 2020,"{""oil"": ""negative"", ""International Energy Agency"": ""neutral""}",9
3793,"Oil prices tumble to $45, bring cheer to customers","{""Oil"": ""negative""}",9
3794,"Oil,pricey inputs make it a sticky affair for Pidilite","{""Pidilite"": ""negative""}",9
3896,World oil prices sink further on mounting US supply,"{""oil"": ""negative""}",9
3910,Benchmark Brent crude bears the scars of more U.S. oil,"{""Brent"": ""negative""}",10
3914,"Brent falls below $86, heads for worst month since 2012","{""Brent"": ""negative""}",10
3915,Brent falls towards $57 as demand concerns outweigh supply disruptions,"{""Brent"": ""negative""}",10
3916,Brent holds near $106 after ample supply pulls down prices,"{""Brent"": ""negative""}",10
4042,Oil prices edge lower as Iran talks extend beyond deadline,"{""Oil"": ""negative""}",10
4043,Oil's rebound could take a detour in 2016: Morgan Stanley,"{""Morgan Stanley"": ""neutral"", ""Oil"": ""neutral""}",10
4044,ONGC slips on buzz that govt increased fuel subsidy burden,"{""ONGC"": ""negative""}",10
4109,Wall Street dips in volatile trade; oil prices fall further,"{""Wall Street"": ""negative""}",10
4110,"Wall Street ends down as energy shares decline, offset ECB","{""Wall Street"": ""negative"", ""energy"": ""negative""}",10
4149,"Brent crude holds above $97, but eyes worst quarter since 2012","{""Brent crude"": ""negative""}",11
4150,"Brent crude slips back towards $97, set for third monthly drop","{""Brent crude"": ""negative""}",11
4151,"Brent falls below $113, set for biggest weekly drop since January","{""Brent"": ""negative""}",11
4152,Brent slumps below $89 to lowest since 2010 as rout extends,"{""Brent"": ""negative""}",11
4177,Crude oil remains down in futures trade on weak Asian cues,"{""Crude oil"": ""negative""}",11
4208,Fuel cost spike lands Jet Airways in the red in Q4,"{""Jet Airways"": ""negative""}",11
4224,Hedge fund big bets on energy companies pummeled in third quarter,"{""energy companies"": ""negative""}",11
4236,Indian Oil profit drops 35 per cent as refining margins shrink,"{""Indian Oil"": ""negative""}",11
4245,JSW Energy December quarter profit after tax drops 34 per cent,"{""JSW Energy"": ""negative""}",11
4257,"Mexico ""very unlikely"" to reopen $1.1 billion oil hedge program: Source","{""oil"": ""negative""}",11
4266,OPEC price war in Asia intensifies as oil falls below $50,"{""oil"": ""negative""}",11
4284,Q1 earnings: Loss widens for Suzlon Energy on high interest cost,"{""Suzlon Energy"": ""negative""}",11
4293,"Refinery margins reasonable, but inventory losses hurting oil sector: Prashasta Seth","{""oil sector"": ""negative""}",11
4297,Rouble down in line with oil ahead of US jobs data,"{""Rouble"": ""neutral"", ""oil"": ""neutral""}",11
4315,Sell Oil India with a target of Rs 515: Sandeep Wagle,"{""Oil India"": ""negative""}",11
4358,WTI crude falls to lowest since June on US supply surge,"{""WTI"": ""negative""}",11
4361,You think the stock market is crazy? Look at oil prices,"{""oil"": ""negative""}",11
4370,"As global oil futures tumble, US cash crude traders ask: What glut?","{""global oil futures"": ""negative""}",12
4379,"Brent holds above $109 on outlook for US oil stocks, Ukraine crisis","{""Brent"": ""positive""}",12
4380,"Brent holds near $102, heads for weekly drop as firm dollar hurts","{""Brent"": ""positive""}",12
4381,"Brent steady below $60, heads for 4th weekly decline as oversupply persists","{""Brent"": ""negative""}",12
4432,"Kirloskar Oil Engines is still to make a comeback: Deepak Mohoni, trendwatchindia.com","{""Kirloskar Oil Engines"": ""negative"", ""trendwatchindia.com"": ""neutral""}",12
4456,OIL India September quarter Net drops 5.3 pc to Rs 903.64 crore,"{""OIL India"": ""negative""}",12
4457,"Oil prices dip as demand stalls, but U.S. supported by rig cut","{""Oil"": ""negative""}",12
4459,"OMCs crack over 5% as government hikes excise duty on petrol, diesel","{""OMCs"": ""negative""}",12
4491,Sell Oil India Ltd with a target of Rs 540: Prakash Gaba,"{""Oil India Ltd"": ""negative""}",12
4508,"Surge in crude will hit Indin stocks markets: Gautam Shah, JM Financial","{""Indin stocks markets"": ""negative"", ""JM Financial"": ""neutral""}",12
4509,Suzlon Energy slips in red on stake sale talks in Senvion SE,"{""Suzlon Energy"": ""negative""}",12
4542,Brent slips below $111 as Libyan PM Abdullah al-Thinni declares oil crisis over,"{""Brent"": ""negative""}",13
4558,Don't expect performance from oil and gas stocks ahead of polls: BP Singh,"{""oil and gas stocks"": ""negative""}",13
4611,Spike in brent prices may cause sell off in oil stocks: Mayuresh Joshi,"{""brent"": ""positive"", ""oil stocks"": ""negative""}",13
4648,Nalco Q1 net profit dips 41% at Rs 223 crore on higher fuel costs,"{""Nalco"": ""negative""}",14
4664,"BGR Energy: Margin pressure, high working capital need may co keep in a tight spot","{""BGR Energy"": ""negative""}",15
4690,InterGlobe may slip into losses if fuel cost exceeds 44% of top line: Daljeet Singh Kohli,"{""InterGlobe"": ""negative""}",16
4707,"Spike in oil prices is a big risk and makes the foreign flows a lot more nervous: IV Subramaniam, Quantum AMC","{""oil"": ""negative"", ""Quantum AMC"": ""neutral""}",21
4720,"ONGC, Oil India top pick in oil & gas space; can rally up to 46% in one year: Macquarie","{""ONGC"": ""positive"", ""Oil India"": ""positive"", ""Macquarie"": ""neutral""}",19
4732,"Scrapping of cess & new exploration policy may boost stocks of oil companies like ONGC, Oil India","{""ONGC"": ""positive"", ""Oil India"": ""positive""}",17
4768,"D-Street hit by downgrades in oil & gas sector; brokerages cut GAIL, ONGC target price","{""GAIL"": ""negative"", ""ONGC"": ""negative"", ""oil & gas sector"": ""negative""}",15
4769,Exposure increased to oil and gas space; look at energy sector more favourably: David Pezarkar,"{""energy sector"": ""positive"", ""oil and gas space"": ""negative""}",15
4770,"HPCL, BPCL, IOC rally even as global crude oil prices on the boil, rupee declines","{""HPCL"": ""positive"", ""BPCL"": ""positive"", ""IOC"": ""positive"", ""global crude oil"": ""positive"", ""rupee"": ""negative""}",15
4771,"HPCL, BPCL, IOC, ONGC, OIL can rally up to 22% in next 12 months: Brokerages","{""HPCL"": ""positive"", ""BPCL"": ""positive"", ""IOC"": ""positive"", ""ONGC"": ""positive"", ""OIL"": ""positive""}",15
4824,"Oil, power & transportation will form market bulwark in coming years: Ajay Bodke","{""Oil"": ""positive"", ""power & transportation"": ""positive""}",13
4844,"Futures and Options' turnover plummets to 2 year low, Sensex slips 33 points","{""Sensex"": ""negative"", ""Futures and Options"": ""negative""}",13
4863,Essar Oil stock more than doubles in a year; LIC big gainer,"{""Essar Oil"": ""positive"", ""LIC"": ""positive""}",12
4869,"Hopes of kerosene, LPG price hike fuel gains in oil, gas stocks","{""oil"": ""positive"", ""gas stocks"": ""positive""}",12
4871,"IOC up nearly 6% as EGoM okays share sale to ONGC, OIL","{""IOC"": ""positive"", ""ONGC"": ""neutral"", ""OIL"": ""neutral""}",12
4880,"Auto, banking cos down over 7% on interest rate, fuel hike fears","{""Auto"": ""negative"", ""banking cos"": ""negative""}",12
4885,"Cairn India, ONGC, and Oil India shares fall with global crude crash","{""Cairn India"": ""negative"", ""ONGC"": ""negative"", ""Oil India"": ""negative""}",12
4900,"IOC, HPCL, BPCL rally on last week's petrol & diesel price hike","{""IOC"": ""positive"", ""HPCL"": ""positive"", ""BPCL"": ""positive""}",12
4905,OMCs & aviation to get boost from crude's price performance: Networth Broking,"{""OMCs"": ""positive"", ""aviation"": ""positive"", ""Networth Broking"": ""neutral""}",12
4907,"ONGC, Oil India valuations near historic lows: Are they a compelling buy?","{""ONGC"": ""neutral"", ""Oil India"": ""neutral""}",12
4911,"Positive on oil and gas stocks: Sadanand Shetty, Taurus Asset Management Company","{""oil and gas stocks"": ""positive"", ""Taurus Asset Management Company"": ""neutral""}",12
4917,S.Korean shares up as energy counters rally on oil rebound; won slips,"{""S.Korean shares"": ""positive"", ""energy"": ""positive"", ""won"": ""negative""}",12
4948,"Upbeat China PMI boosts Asia equities, Aussie; oil up on Iraq","{""Asia equities"": ""positive"", ""Aussie"": ""positive"", ""oil"": ""positive""}",11
4997,"RIL, oil PSUs could contribute to markets inching higher: Deven Choksey","{""RIL"": ""positive"", ""oil PSUs"": ""positive""}",11
5000,"Saudi Arabia, Egypt fall as US oil hits fresh 6-1/2-year low","{""US oil"": ""negative""}",11
5019,10-year bond yield slips to 8.17% as oil falls further,"{""10-year bond"": ""positive"", ""oil"": ""negative""}",10
5021,"Asian markets retreat, oil near 3-month high on Iraq concerns","{""oil"": ""positive"", ""Asian markets"": ""negative""}",10
5025,"Brent slips below $105, Iraq oil output steady amid conflict","{""Brent"": ""negative"", ""Iraq oil"": ""neutral""}",10
5076,"Essar Oil, Essar Ports crack as promoters deny delisting plans","{""Essar Oil"": ""negative"", ""Essar Ports"": ""negative""}",10
5077,Upbeat China PMI boosts Asian stocks; oil firm on Iraq,"{""Asian stocks"": ""positive"", ""oil"": ""neutral""}",10
5085,"Gloomy French data hits European stocks, Iraq keeps oil high","{""oil"": ""positive"", ""European stocks"": ""negative""}",10
5106,"ONGC, Oil India rise on new subsidy sharing proposal report","{""ONGC"": ""positive"", ""Oil India"": ""positive""}",10
5140,"Stocks, oil flounder on growth anxiety; China data little help","{""Stocks"": ""negative"", ""oil"": ""negative""}",10
5148,Asian currencies firm; ringgit falls on weak oil demand,"{""ringgit"": ""negative"", ""Asian currencies"": ""neutral""}",9
